file_name,cell,file_num,intensity,flash_onset,start_time,sweep_length,sweep_count
H21012802_0022.abf,H21012802,22,0.348,1.12715,0.0,8.0,6
H21012802_0023.abf,H21012802,23,0.27,1.12715,55.338,8.0,15
H21012802_0024.abf,H21012802,24,0.0296,1.12715,191.438,8.0,12
H21012802_0026.abf,H21012802,26,0.127,1.12715,330.662,8.0,15
H21021901_0013.abf,H21021901,13,0.03,1.0959,0.0,6.0,8
H21021901_0016.abf,H21021901,16,0.352,1.0959,201.293,6.0,15
H21021901_0017.abf,H21021901,17,3.2,1.0959,300.844,6.0,8
H21021901_0018.abf,H21021901,18,0.352,1.0959,359.433,6.0,15
H21021901_0019.abf,H21021901,19,0.274,1.0959,462.576,6.0,15
H21021902_0002.abf,H21021902,2,0.166,1.0959,0.0,6.0,15
H21021902_0003.abf,H21021902,3,1.51,1.0959,98.098,6.0,3
H21021902_0005.abf,H21021902,5,1.51,1.0959,134.044,6.0,13
H21021902_0007.abf,H21021902,7,0.274,1.0959,250.824,6.0,15
H21021902_0008.abf,H21021902,8,0.03,1.0959,361.408,6.0,15
H21021902_0009.abf,H21021902,9,0.352,1.0959,476.11,6.0,10
H21021902_0010.abf,H21021902,10,0.274,1.0959,551.282,6.0,15
H21021903_0017.abf,H21021903,17,0.03,1.0959,0.0,6.0,10
H21021903_0020.abf,H21021903,20,0.129,1.0959,175.174,6.0,15
H21021903_0022.abf,H21021903,22,0.166,1.0959,306.628,6.0,15
H21021903_0024.abf,H21021903,24,0.03,1.0959,431.333,6.0,15
H21031601_0027.abf,H21031601,27,2.51,1.12715,0.0,8.0,3
H21031601_0029.abf,H21031601,29,0.597,1.0959,132.829,6.0,15
H21031601_0030.abf,H21031601,30,1.25,1.0959,244.257,6.0,15
H21031601_0033.abf,H21031601,33,3.2,1.0959,638.806,6.0,4
H21031601_0035.abf,H21031601,35,1.51,1.0959,781.616,6.0,15
H21031601_0036.abf,H21031601,36,0.166,1.0959,911.774,6.0,15
H21031601_0037.abf,H21031601,37,1.51,1.0959,1185.483,6.0,15
H21031601_0040.abf,H21031601,40,1.51,1.0959,1765.116,6.0,15
H21031601_0041.abf,H21031601,41,0.166,1.0959,1869.567,6.0,15
H21031601_0042.abf,H21031601,42,0.28,1.0959,2017.341,6.0,12
H21031606_0006.abf,H21031606,6,0.597,1.0802500000000002,0.0,5.0,15
H21031606_0007.abf,H21031606,7,1.25,1.0802500000000002,96.861,5.0,5
H21031606_0008.abf,H21031606,8,0.274,1.0802500000000002,130.673,5.0,15
H21031606_0011.abf,H21031606,11,0.03,1.0802500000000002,272.622,5.0,15
H21031606_0014.abf,H21031606,14,0.014,1.0802500000000002,433.608,5.0,11
H21031606_0019.abf,H21031606,19,0.586,1.0802500000000002,786.035,5.0,13
H21031606_0020.abf,H21031606,20,0.28,1.0802500000000002,856.367,5.0,13
H21031606_0021.abf,H21031606,21,0.166,1.0802500000000002,937.429,5.0,15
H21031606_0023.abf,H21031606,23,0.166,1.0802500000000002,1076.167,5.0,15
H21031606_0025.abf,H21031606,25,0.129,1.0802500000000002,1237.348,5.0,15
H21031606_0026.abf,H21031606,26,0.129,1.0802500000000002,1315.966,5.0,15
H21031606_0028.abf,H21031606,28,0.274,1.0802500000000002,1456.209,5.0,15
H21032503_0005.abf,H21032503,5,1.23,1.0802500000000002,0.0,5.0,15
H21032503_0008.abf,H21032503,8,0.476,1.0802500000000002,162.971,5.0,15
H21032503_0009.abf,H21032503,9,0.229,1.0802500000000002,248.806,5.0,15
H21032503_0010.abf,H21032503,10,0.136,1.0802500000000002,334.667,5.0,15
H21032503_0012.abf,H21032503,12,0.105,1.0802500000000002,504.025,5.0,15
