file_name,cell,file_num,intensity
H21012802_0022.abf,H21012802,22,0.348
H21012802_0023.abf,H21012802,23,0.27
H21012802_0024.abf,H21012802,24,0.0296
H21012802_0026.abf,H21012802,26,0.127
H21021901_0013.abf,H21021901,13,0.03
H21021901_0016.abf,H21021901,16,0.352
H21021901_0017.abf,H21021901,17,3.2
H21021901_0018.abf,H21021901,18,0.352
H21021901_0019.abf,H21021901,19,0.274
H21021902_0002.abf,H21021902,2,0.166
H21021902_0003.abf,H21021902,3,1.51
H21021902_0005.abf,H21021902,5,1.51
H21021902_0007.abf,H21021902,7,0.274
H21021902_0008.abf,H21021902,8,0.03
H21021902_0009.abf,H21021902,9,0.352
H21021902_0010.abf,H21021902,10,0.274
H21021903_0017.abf,H21021903,17,0.03
H21021903_0020.abf,H21021903,20,0.129
H21021903_0022.abf,H21021903,22,0.166
H21021903_0024.abf,H21021903,24,0.03
H21031601_0027.abf,H21031601,27,2.51
H21031601_0029.abf,H21031601,29,0.597
H21031601_0030.abf,H21031601,30,1.25
H21031601_0033.abf,H21031601,33,3.2
H21031601_0035.abf,H21031601,35,1.51
H21031601_0036.abf,H21031601,36,0.166
H21031601_0037.abf,H21031601,37,1.51
H21031601_0040.abf,H21031601,40,1.51
H21031601_0041.abf,H21031601,41,0.166
H21031601_0042.abf,H21031601,42,0.28
H21031606_0006.abf,H21031606,6,0.597
H21031606_0007.abf,H21031606,7,1.25
H21031606_0008.abf,H21031606,8,0.274
H21031606_0011.abf,H21031606,11,0.03
H21031606_0014.abf,H21031606,14,0.014
H21031606_0019.abf,H21031606,19,0.586
H21031606_0020.abf,H21031606,20,0.28
H21031606_0021.abf,H21031606,21,0.166
H21031606_0023.abf,H21031606,23,0.166
H21031606_0025.abf,H21031606,25,0.129
H21031606_0026.abf,H21031606,26,0.129
H21031606_0028.abf,H21031606,28,0.274
H21032503_0005.abf,H21032503,5,1.23
H21032503_0008.abf,H21032503,8,0.476
H21032503_0009.abf,H21032503,9,0.229
H21032503_0010.abf,H21032503,10,0.136
H21032503_0012.abf,H21032503,12,0.105
H21032503_0014.abf,H21032503,14,0.0116
H21032503_0015.abf,H21032503,15,0.0116
H21032503_0020.abf,H21032503,20,0.136
H21032503_0021.abf,H21032503,21,0.229
H21032503_0022.abf,H21032503,22,0.476
H21033101_0006.abf,H21033101,6,0.476
H21033101_0010.abf,H21033101,10,0.476
H21033101_0011.abf,H21033101,11,0.229
H21033101_0013.abf,H21033101,13,0.105
H21033101_0014.abf,H21033101,14,0.0116
H21033101_0015.abf,H21033101,15,0.105
H21033101_0016.abf,H21033101,16,0.136
H21033101_0017.abf,H21033101,17,0.229
H21033101_0024.abf,H21033101,24,1.23
H21033101_0025.abf,H21033101,25,0.292
H21033101_0026.abf,H21033101,26,1.02
H21033101_0027.abf,H21033101,27,0.292
H21033101_0028.abf,H21033101,28,0.226
H21033101_0029.abf,H21033101,29,0.226
H21033101_0030.abf,H21033101,30,0.025
H21033101_0032.abf,H21033101,32,0.136
H21033101_0033.abf,H21033101,33,0.136
H21033101_0035.abf,H21033101,35,0.229
H21033101_0036.abf,H21033101,36,0.229
H21033101_0037.abf,H21033101,37,0.105
H21033101_0038.abf,H21033101,38,0.0116
H21033104_0002.abf,H21033104,2,0.025
H21033104_0004.abf,H21033104,4,2.92
H21033104_0005.abf,H21033104,5,0.226
H21033104_0006.abf,H21033104,6,0.025
H21033104_0007.abf,H21033104,7,0.136
H21033104_0008.abf,H21033104,8,0.105
H21033104_0009.abf,H21033104,9,0.0116
H21033104_0010.abf,H21033104,10,0.0116
H21033104_0011.abf,H21033104,11,0.0116
H21040803_0012.abf,H21040803,12,0.467
H21040803_0013.abf,H21040803,13,0.103
H21040803_0014.abf,H21040803,14,0.133
H21040803_0015.abf,H21040803,15,0.226
H21040803_0016.abf,H21040803,16,0.467
