cell,intensity,gauss_score,sweep_count,baseline
E21123101,1040.0,3,4,0.0
E21123101,10100.0,3,6,0.0
E21123102,12.0,1,15,0.8265684669939989
E21123102,115.0,3,6,1.4924152876280534
E21123102,1040.0,3,4,0.0
E21123104,12.0,1,10,1.2536288416075652
E21123104,115.0,3,14,2.6863475177304963
E21123104,1040.0,3,7,0.0
E21123104,10100.0,3,2,3.581796690307329
E22010301,12.0,0,5,1.0745390070921987
E22010301,115.0,3,15,2.3878644602048857
E22010301,1040.0,3,7,2.046740965889902
E22010302,115.0,1,5,1.4327186761229316
E22010302,1040.0,1,9,3.1838192802731813
E22010302,10100.0,3,6,5.372695035460993
E22010303,0.995,0,8,8.954491725768321
E22010303,12.0,1,4,16.118085106382978
E22010303,115.0,3,16,7.419436001350895
E22010303,1040.0,3,4,38.50431442080379
E22010402,0.995,0,5,0.0
E22010402,12.0,1,9,0.8954491725768321
E22010402,31.7,1,8,1.279213103681189
E22010402,64.4,3,10,0.4477245862884161
E22010402,115.0,3,7,0.2558426207362377
E22010403,0.768,3,5,0.3581373360122917
E22010403,6.94,3,8,0.8953433400307291
E22010403,15.2,3,5,0.3581373360122917
E22010403,31.7,3,7,1.7906866800614585
E22010403,64.4,3,4,0.0
E22010404,0.768,0,6,2.0893814026792747
E22010404,6.94,3,9,2.014760638297872
E22010404,15.2,3,8,1.343173758865248
E22010404,31.7,3,3,0.0
E22010405,0.768,0,2,4.476716700153646
E22010405,6.94,1,2,3.5813733601229165
E22010405,15.2,3,9,8.95343340030729
E22010405,31.7,3,4,0.4476716700153646
E22010406,64.4,3,8,3.805658983451536
E22010406,115.0,3,9,0.3979774100341476
E22010501,31.7,3,4,0.0
E22010501,115.0,0,3,0.0
E22010501,582.0,1,4,0.0
E22010501,1040.0,1,6,1.1939322301024429
E22010601,62.6,0,5,0.0
E22010601,64.4,0,4,0.0
E22010601,115.0,0,1,0.0
E22010601,137.0,0,9,0.7959548200682953
E22010601,286.0,0,13,0.7959548200682953
E22010601,582.0,1,5,0.3581796690307329
E22010603,15.2,3,5,0.3581796690307329
E22010603,31.7,3,12,2.3878644602048857
E22010603,64.4,3,6,3.283313632781718
E22010603,115.0,3,3,0.5969661150512214
E22010606,62.6,0,6,0.0
E22010606,64.4,3,5,0.0
E22010606,137.0,3,5,0.0
E22010606,286.0,3,7,0.0
E22010701,31.7,1,7,2.387582240081944
E22010701,64.4,1,5,0.8953433400307291
E22010701,115.0,3,5,0.7162746720245834
E22010701,582.0,1,6,1.790686680061458
E22010701,1040.0,1,7,0.8953433400307292
E22010702,15.2,1,7,1.5350557244174263
E22010702,31.7,1,8,1.7908983451536644
E22010702,64.4,3,9,0.9949435250853692
E22010702,115.0,3,8,1.7908983451536642
E22010703,6.73,1,3,14.327186761229314
E22010703,6.94,1,7,4.861009793988517
E22010703,31.7,3,7,7.419436001350895
E22011001,0.724,1,6,0.5969661150512214
E22011001,1.58,3,6,0.5969661150512214
E22011001,3.31,3,4,0.0
E22011001,6.94,3,2,0.0
E22011002,6.94,3,6,6.565851160225347
E22011002,31.7,3,12,1.3023175854992424
E22011002,62.6,3,5,0.7162746720245834
E22011002,286.0,1,9,1.7906866800614585
E22011002,1040.0,1,5,1.3430150100460938
E22011102,0.768,0,7,0.5116852414724755
E22011102,6.94,3,3,0.5969661150512214
E22011102,15.2,3,10,0.3581796690307329
E22011102,31.7,3,9,0.3979774100341476
E22011202,582.0,1,6,0.4664573135063575
E22011202,1040.0,1,7,0.0
E22011301,3.31,1,4,1.3993719405190723
E22011301,31.7,0,2,1.3993719405190723
E22011301,286.0,0,11,1.3993719405190723
E22011301,606.0,1,8,2.448900895908377
E22011301,2770.0,0,3,1.8658292540254295
E22011302,15.2,3,9,7.163593380614657
E22011302,31.7,1,4,15.222635933806147
E22011403,0.724009925,0,4,2.2386229314420807
E22011403,1.584289985,0,7,1.023370482944951
E22011403,6.935135234,3,8,0.6715868794326242
E22011403,31.68476548,3,2,0.8954491725768322
E22011404,62.61902936,3,4,0.0
E22011404,137.0239519,3,5,0.0
E22011404,286.0894839,3,3,0.0
E22011405,286.0894839,0,3,0.0
E22011405,581.9193648,1,7,0.2558426207362377
E22011405,1039.599129,3,6,1.1939322301024429
E22011405,1326.791467,3,8,0.8954491725768321
E22011405,2770.180548,3,5,0.7163593380614658
E22012005,0.557,0,4,2.776389582986285
E22012005,6.73,3,8,9.110028319173749
E22012005,15.2,3,17,4.164584374479428
E22012005,31.7,3,5,0.0
E22012005,64.4,3,6,0.0
E22012101,15.2,3,7,0.0
E22012101,31.7,3,18,1.301432617024821
E22012101,62.6,3,18,0.5205730468099283
E22012101,137.0,3,20,0.5784144964554759
E22012101,286.0,3,7,0.0
E22012102,0.131,0,12,5.413959686823255
E22012102,0.557,1,9,4.8586817702259975
E22012102,1.58,3,6,10.411460936198567
E22012102,31.7,1,10,7.912710311510911
E22012102,137.0,3,2,14.576045310677994
E22012102,286.0,3,18,2.677232812165346
