cell,intensity,gauss_score,sweep_count,baseline,wilcoxon_p,AUC
H21012802,0.0296,1,12,0.5175294622129559,0.5,0.5
H21012802,0.127,3,15,0.0633709545566884,0.0023388674905236,0.7857142857142857
H21012802,0.27,3,15,0.5914622425290925,0.000265157036084,0.94
H21012802,0.348,3,6,2.217983409484097,0.0165031288306162,0.888888888888889
H21021901,0.03,0,8,65.01505611825897,0.9137351783206582,0.34375
H21021901,0.274,3,15,57.243665784591045,0.0003369292656768,0.997777777777778
H21021901,0.352,3,30,61.86695866411169,7.925528622188202e-07,0.9766666666666668
H21021901,3.2,3,8,63.874441098640375,0.00390625,1.0
H21021902,0.03,3,15,24.637284423761287,0.2470172030025167,0.5777777777777778
H21021902,0.166,3,15,27.6789244760775,0.0011094155272182,0.8044444444444445
H21021902,0.274,3,30,21.291480366213463,6.684558565955815e-07,0.9883333333333332
H21021902,0.352,3,10,24.728533625330773,0.0009765625,1.0
H21021902,1.51,3,16,23.04042339629528,1.52587890625e-05,1.0
H21021903,0.03,3,25,1.8979833926453145,0.0032794811408192,0.7016
H21021903,0.129,3,15,1.7033184292970769,0.0003143845683216,0.9555555555555556
H21021903,0.166,3,15,1.155823219880159,3.0517578125e-05,1.0
H21031601,0.166,3,30,80.81637619004168,0.0006178851252389,0.695
H21031601,0.28,3,12,37.10800863825774,0.004638671875,0.8298611111111112
H21031601,0.597,3,15,65.27359552270585,0.0007566421373889,0.8955555555555555
H21031601,1.25,3,15,66.73358274781762,3.0517578125e-05,0.9977777777777778
H21031601,1.51,3,45,86.64618629031442,2.442520874971425e-09,0.9925925925925926
H21031601,2.51,3,3,47.90844164485649,0.0827589293487349,0.888888888888889
H21031601,3.2,3,4,80.98366639291905,0.0625,1.0
H21031606,0.014,0,11,15.316319875449704,0.4623804435750748,0.5165289256198347
H21031606,0.03,1,15,2.2217079379773192,0.1109115991534029,0.6155555555555555
H21031606,0.129,3,30,6.54169559515544,7.623633928236816e-05,0.7933333333333333
H21031606,0.166,3,30,3.5547327007637115,5.160872074756987e-05,0.7944
H21031606,0.274,3,30,6.288454939389828,3.920032892437644e-06,0.8757431629013079
H21031606,0.28,3,13,1.9938404571591328,0.005405141725979,0.8875739644970415
H21031606,0.586,3,13,0.5696687020454667,0.0001220703125,0.9881656804733728
H21031606,0.597,3,15,0.4984601142897833,0.0056223520309267,0.8136094674556213
H21031606,1.25,3,5,0.0,0.03125,1.0
H21032503,0.0116,0,30,42.15073671218081,0.7402410595379901,0.4477777777777778
H21032503,0.105,3,15,50.48214147959577,0.2191004093230315,0.5688888888888889
H21032503,0.136,3,30,43.045591298310576,0.0037999489390137,0.6966666666666667
H21032503,0.229,3,30,54.092416878808905,0.0014492667511309,0.7222222222222222
H21032503,0.476,3,21,47.69619025578294,6.139484569385555e-05,0.8809523809523809
H21032503,1.23,3,15,49.92671449510144,3.0517578125e-05,0.9955555555555556
H21033101,0.0116,3,30,30.22902113596322,0.0166823293091075,0.5772222222222222
H21033101,0.025,0,15,37.2136079611201,0.6239119867520083,0.4600000000000001
H21033101,0.105,3,45,31.766465415589405,0.0485060011963587,0.5622222222222222
H21033101,0.136,3,41,20.23446010055612,0.0450154787543085,0.5797144556811421
H21033101,0.226,3,30,29.00563141248167,0.0316383498357029,0.6383333333333333
H21033101,0.229,3,50,27.9883673211796,3.6750655074768165e-05,0.6382
H21033101,0.292,3,30,31.011339967600097,0.0319835743400612,0.6072222222222222
H21033101,0.476,3,20,60.04197463272196,0.0029476324845918,0.6575
H21033101,1.02,3,15,22.217079379773203,0.02737043364087,0.691111111111111
H21033101,1.23,3,7,31.738684828247425,0.0104167958847622,0.979591836734694
H21033104,0.0116,1,45,1.5017099951142991,0.1581396116952898,0.5479012345679012
H21033104,0.025,0,14,1.7672676779365042,0.3834932848297797,0.5371900826446282
H21033104,0.105,3,15,0.7273448606473367,0.0859286695313996,0.6377551020408163
H21033104,0.136,3,10,0.833140476741495,0.0745059254771175,0.725
H21033104,0.226,3,9,0.3085705469412944,0.004158228105414,0.9444444444444444
H21033104,2.92,3,15,0.1157139551029854,0.008838362722921,0.890625
H21040803,0.0114,0,15,38.139319601944,0.1058169058965785,0.5711111111111111
H21040803,0.103,3,30,30.887911748823573,0.5428911383125452,0.5005555555555556
H21040803,0.133,3,30,31.597624006788543,0.5508366063653809,0.4983333333333333
H21040803,0.226,3,30,24.96335724755072,0.0690454904428898,0.6033333333333334
H21040803,0.467,3,22,18.345921609055143,0.0015163981757848,0.7840909090909092
H21040805,0.0114,3,17,14.703302702089804,0.3674536235640397,0.4775086505190311
H21040805,0.103,0,15,19.439944457301547,0.4766869161469171,0.5155555555555555
H21040805,0.113,3,30,16.97138008177119,0.3274215068921209,0.5594444444444444
H21040805,0.467,3,9,12.959962971534363,0.0583659800289273,0.7345679012345678
H21042101,0.0007,1,30,0.1999300244914279,0.0608031884139585,0.5706447187928669
H21042101,0.0065,1,30,0.5997900734742839,0.1029516053660342,0.5833333333333334
H21042101,0.0084,1,50,5.300318801462967,0.0988350388653223,0.5460775047258979
H21042101,0.0143,1,53,8.058881519127882,0.293552043184382,0.5350837483023994
H21042101,0.0296,3,39,0.3647372068424699,0.0436885611206644,0.5788897005113222
