file_name,sweep,baseline,pre,post
H21012802_0022.abf,0,2.6615800913809164,0.0,2.0
H21012802_0022.abf,1,0.8871933637936388,0.0,3.0
H21012802_0022.abf,2,0.8871933637936388,0.0,1.0
H21012802_0022.abf,3,3.548773455174555,2.0,2.0
H21012802_0022.abf,4,2.6615800913809164,1.0,2.0
H21012802_0022.abf,5,2.6615800913809164,1.0,2.0
H21012802_0023.abf,0,0.0,0.0,1.0
H21012802_0023.abf,1,0.8871933637936388,0.0,2.0
H21012802_0023.abf,2,0.8871933637936388,0.0,2.0
H21012802_0023.abf,3,0.0,0.0,2.0
H21012802_0023.abf,4,0.8871933637936388,0.0,2.0
H21012802_0023.abf,5,0.8871933637936388,0.0,2.0
H21012802_0023.abf,6,0.0,0.0,2.0
H21012802_0023.abf,7,0.0,0.0,2.0
H21012802_0023.abf,8,0.8871933637936388,0.0,0.0
H21012802_0023.abf,9,1.7743867275872776,1.0,2.0
H21012802_0023.abf,10,0.0,0.0,1.0
H21012802_0023.abf,11,0.8871933637936388,0.0,1.0
H21012802_0023.abf,12,0.8871933637936388,1.0,2.0
H21012802_0023.abf,13,0.8871933637936388,1.0,2.0
H21012802_0023.abf,14,0.0,0.0,2.0
H21012802_0024.abf,0,0.0,0.0,0.0
H21012802_0024.abf,1,1.7743867275872776,0.0,1.0
H21012802_0024.abf,2,0.0,0.0,0.0
H21012802_0024.abf,3,2.6615800913809164,1.0,0.0
H21012802_0024.abf,4,0.0,0.0,0.0
H21012802_0024.abf,5,0.0,0.0,0.0
H21012802_0024.abf,6,0.0,0.0,0.0
H21012802_0024.abf,7,0.0,0.0,0.0
H21012802_0024.abf,8,0.0,0.0,0.0
H21012802_0024.abf,9,0.8871933637936388,1.0,0.0
H21012802_0024.abf,10,0.8871933637936388,0.0,1.0
H21012802_0024.abf,11,0.0,0.0,0.0
H21012802_0026.abf,0,0.0,0.0,1.0
H21012802_0026.abf,1,0.8871933637936388,0.0,0.0
H21012802_0026.abf,2,0.0,0.0,1.0
H21012802_0026.abf,3,0.0,0.0,1.0
H21012802_0026.abf,4,0.0,0.0,1.0
H21012802_0026.abf,5,0.0,0.0,0.0
H21012802_0026.abf,7,0.0,0.0,0.0
H21012802_0026.abf,8,0.0,0.0,0.0
H21012802_0026.abf,9,0.0,0.0,1.0
H21012802_0026.abf,10,0.0,0.0,1.0
H21012802_0026.abf,11,0.0,0.0,0.0
H21012802_0026.abf,12,0.0,0.0,0.0
H21012802_0026.abf,13,0.0,0.0,1.0
H21012802_0026.abf,14,0.0,0.0,1.0
H21021901_0013.abf,0,65.69942513003011,10.0,9.0
H21021901_0013.abf,1,64.78693311433524,6.0,6.0
H21021901_0013.abf,2,67.52440916141983,10.0,6.0
H21021901_0013.abf,3,67.52440916141983,8.0,7.0
H21021901_0013.abf,4,67.52440916141983,7.0,6.0
H21021901_0013.abf,5,66.61191714572497,9.0,9.0
H21021901_0013.abf,6,62.04945706725066,7.0,6.0
H21021901_0013.abf,7,58.39948900447121,8.0,10.0
H21021901_0016.abf,0,60.22447303586093,5.0,11.0
H21021901_0016.abf,1,58.39948900447121,9.0,13.0
H21021901_0016.abf,2,61.13696505155579,9.0,12.0
H21021901_0016.abf,3,70.26188520850442,7.0,12.0
H21021901_0016.abf,4,55.662012957386615,7.0,10.0
H21021901_0016.abf,5,64.78693311433524,7.0,10.0
H21021901_0016.abf,6,70.26188520850442,6.0,13.0
H21021901_0016.abf,7,53.83702892599689,7.0,10.0
H21021901_0016.abf,8,72.99936125558901,8.0,13.0
H21021901_0016.abf,9,60.22447303586093,5.0,10.0
H21021901_0016.abf,10,61.13696505155579,7.0,10.0
H21021901_0016.abf,11,62.96194908294552,6.0,10.0
H21021901_0016.abf,12,64.78693311433524,7.0,9.0
H21021901_0016.abf,13,66.61191714572497,8.0,12.0
H21021901_0016.abf,14,72.08686923989414,9.0,12.0
